SgnYear,CO2排放量（万吨）,农村用电量（亿千瓦时）,农林牧渔业总产值（亿元）,牧业总产值（亿元）,渔业总产值（亿元）,第一产业就业人数（万人）,农用机油,化肥施用量（万吨）,农作物总播种面积（千公顷）,有效灌溉面积（千公顷）,农用机械总动力（万千瓦时）,农业增加值占GDP比重（%）,国内生产总值（亿元）,人均国内生产总值（亿元）,总人口,城镇化率
1994,7069.509,1473.9,15750.49,4672,1298.2,36628,119.8,3317.9,148240.6,48759.1,33802.5,19.4743,48637.4503,4080.8879,1191835000,30.024
1995,7601.421,1655.6619,20340.9,6045,1701.3,35530,103,3593.7,149879.3,49281.2,36118.05,19.5965,61339.8913,5091.06,1204855000,30.961
1996,7757.924,1812.7,22353.7,6015.54,2020.43,34820,103.9,3827.9,152380.6,50381.4,38546.9,19.3254,71813.6296,5898.2078,1217550000,31.916
1997,7944.476,1980.1,23788.4,6835.4,2282.7,34840,109,3980.7,153969.2,51238.5,42015.6,17.8953,79715.0445,6480.5028,1230075000,32.883
1998,8076.694,2042.2,24541.86,7025.84,2422.8804,35177,94.9,4083.7,155705.7,52295.6,45207.7,17.159,85195.5071,6859.9006,1241935000,33.867
1999,8096.558,2173.4486,24519.06,6997.58,2529.04,35768,103.9,4124.32,156372.81,53158.41,48996.12,16.0648,90564.3758,7229.3323,1252735000,34.865
2000,4630.892,2421.2951,24915.7683,7393.0812,2712.575,36042.5,123.9,4146.4122,156299.846,53820.33,52573.6063,14.6763,100280.1393,7942.0692,1262645000,35.877
2001,8270.743,2610.7785,26179.6,7963.1,2815,36398.5,100,4253.7634,155707.8615,54249.3911,55172.1,13.9835,110863.123,8716.6822,1271850000,37.093
2002,8648.632,2993.4,27390.7536,8454.6421,2971.073,36640,98.9,4339.39,154635.5134,54354.9,57929.85,13.3015,121717.4247,9506.2031,1280400000,38.425
2003,8785.067,3432.9165,29691.8,9538.8,3137.6,36204.376,107.76,4411.5603,152414.9623,54014.23,60386.541,12.349,137422.0349,10666.1002,1288400000,39.776
2004,10716.02,3933.0271,36238.9898,12173.8016,3605.6021,34829.816,108.42,4636.58,153552.5454,54478.42,64027.91,12.9166,161840.1609,12486.9441,1296075000,41.144
2005,8070.862,4375.7016,39450.8873,13310.7835,4016.1189,33441.856,111.08,4766.2183,155487.7289,55029.339,68397.8486,11.6415,187318.9031,14368.0317,1303720000,42.522
2006,11422.477,4895.8161,40810.8266,12083.8553,3970.5249,31940.628,113.42,4927.6928,152149.4978,55750.4959,72522.1234,10.6258,219438.4748,16737.996,1311020000,43.868
2007,11224.38,5509.9327,48651.7663,16068.6203,4427.9278,30730.968,105.28,5107.8321,153010.0671,56518.3427,76589.5635,10.283,270092.3237,20494.3773,1317885000,45.199
2008,6933.922,5713.152,57420.7658,20354.1954,5137.5305,29923.344,113.11,5239.0227,155565.5289,58471.6804,82190.4132,10.2509,319244.6128,24100.2082,1324655000,46.539
2009,8101.867,6104.4391,59311.3248,19184.6344,5514.7248,28890.468,94.38,5404.3523,157242.4469,59261.4459,87496.1013,9.7862,348517.7437,26179.54,1331260000,47.88
2010,8472.65,6632.3469,67763.1343,20461.077,6263.3706,27930.535,110.27,5561.68,158579.4806,60347.698,92780.4757,9.5302,412119.2558,30807.9327,1337705000,49.226
2011,8861.966,7139.6154,78836.9774,25194.1631,7337.3725,26594,110.8,5704.2356,160360.3817,61681.5613,97734.6585,9.4345,487940.1805,36277.1463,1344130000,50.573
2012,9203.057,7508.4608,86342.1522,26491.2089,8403.9148,25773,104.17,5838.849,162071.2466,62490.524,102558.96,9.4199,538579.9535,39771.3828,1350695000,51.889
2013,9936.624,8549.5239,93173.6999,27572.3689,9254.4787,24171,100.49,5911.8637,163702.2471,63473.3037,103906.7505,9.2952,592963.2295,43496.6232,1357380000,53.168
2014,10099.633,8884.4475,97822.5134,27963.3868,9877.537,22790,98.2,5995.938,165183.3219,64539.5289,108056.58,9.0599,643563.1045,46911.7287,1364270000,54.41
2015,10466.932,9026.9177,101893.525,28649.3203,10339.0869,21919,87.31,6022.6028,166829.2781,65872.6427,111728.0676,8.387,688858.218,49922.3268,1371220000,55.5
2016,10765.191,9238.2637,106478.7285,30461.1666,10892.9184,21496,96.55,5984.4144,166939.0444,67140.62,97245.5853,8.0573,746395.0595,53782.9974,1378665000,56.736
2017,11001.909,9524.4249,109331.7209,29361.1881,11577.0915,20944,110,5859.4124,166331.9121,67815.572,98783.347,7.4636,832035.9486,59592.2511,1396215000,57.96
2018,10100.867,9358.5423,113579.5301,28697.4021,12131.5066,20258,112.56,5653.4202,165902.3805,68271.64,100371.744,7.043,919281.1291,65533.7427,1402760000,59.152
2019,9739.303,9482.8723,123967.9353,33064.3457,12572.4038,19445,94.6,5403.5856,165930.6641,68678.606,102758.2611,7.1437,986515.2023,70077.6918,1407745000,60.308
2020,9805.861,9717.1814,137782.1668,40266.6718,12775.8571,17715,86.5,5250.6549,167487.1379,69160.515,105622.1484,7.6986,1013567.002,71828.1484,1411100000,61.428
